Altium Designer Pick and Place Locations,,,,,,,
D:\MyDocuments\STM32Program\FrequencyAnalyse\Hardware\SignalAnalysis_Final\Project Outputs for SignalAnalysis_final\pick and place for SignalAnalysis_final.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       30/08/21,,,,,,,
Time:       09:46,,,,,,,
Revision:   efb4060e96f3e49ef5482a0a6ed2a59cd4830c93,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
D2,Diode,TopLayer,SOD3716X135N,128.5266,102.6668,360,"Surface Mount Schottky Power Rectifier, 0.5 AMPERES 40 VOLTS"
U8,OPA607,TopLayer,SC70,121.2596,87.9856,180,"Low power, precision, 50 MHz decompensated CMOS operational amplifier for cost sensitive systems"
R51,Res 50K¶∏ °¿1%,TopLayer,603,120.5738,91.3384,0,Resistor
R50,Res 6.2K¶∏ °¿1%,TopLayer,603,122.7328,90.8812,90,Resistor
R49,Res 10K¶∏ °¿1%,TopLayer,603,123.1646,84.5058,360,Resistor
R48,Res 12K¶∏ °¿2%,TopLayer,603,120.4722,85.7758,180,Resistor
C65,Cap 4.7nF,TopLayer,603,120.523,90.0684,0,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 16V 4700pF X7R 0603 10%
C64,Cap 100nF,TopLayer,603,118.2116,88.3158,90,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0.1UF 16V 10% 0603
C63,Cap 100nF,TopLayer,603,122.047,94.1832,0,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 100nF+/-10% 50V X7R 1608
C62,Cap 300pF,TopLayer,603,123.19,85.7758,180,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0603 300pF 50volts C0G 2%
Swi1,Switch_219-2MSTR,TopLayer,219-2MSTR,83.4009,72.1614,90,DIP ø™πÿ/ SIP ø™πÿ 2 switch sections SPST
C41,Cap 1¶ÃF,TopLayer,603,105.0148,84.6582,360,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0603 1uF 25V X6S 10%
C42,Cap 1¶ÃF,TopLayer,603,111.8982,80.0608,180,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0603 1uF 25V X6S 10%
C43,Cap 1¶ÃF,TopLayer,603,110.1852,82.9818,360,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0603 1uF 25V X6S 10%
C44,Cap 100nF,TopLayer,603,110.1852,84.2518,360,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0.1UF 16V 10% 0603
C45,Cap 100nF,TopLayer,603,111.8982,81.3308,180,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0.1UF 16V 10% 0603
C46,Cap 100nF,TopLayer,603,105.8164,83.2104,360,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0.1UF 16V 10% 0603
