Altium Designer Pick and Place Locations,,,,,,,
D:\MyDocuments\ADProject\SignalAnalyse\Project Outputs for SignalAnalyse\Pick Place for SignalAnalyse.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       04/04/20,,,,,,,
Time:       11:02,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
C36,GRM188R61A226ME15D,TopLayer,1608[0603],4769,3295,270,Capacitor (Semiconductor SIM Model)
D5,SMMBD301LT3G,TopLayer,SOT96P237X111-3N,3023.402,2677.661,270,Schottky Barrier Diodes
R26,Magnetic Beed,TopLayer,603,5001,2972,0,Wurth Magnetic Bead
C24,Cap,TopLayer,603,5051,3832,180,Capacitor_for resonance
C23,Cap Var,TopLayer,Variable_Capacitor_JZ400HV1,5101,3942,180,Variable or Adjustable Capacitor
C25,Cap,TopLayer,603,4936,3652,270,Capacitor_for resonance
C26,random value needs carefully address,TopLayer,603,5051,3452,0,Capacitor_for resonance
L03,Inductor 220 nH,TopLayer,Ferrite_bead_0805inch_2012mm,5016,3172,90,220nH
C27,Cap Var,TopLayer,Variable_Capacitor_JZ400HV1,5101,3327,180,Variable or Adjustable Capacitor
R25,,TopLayer,603,5101,4062,180,Resistor
C35,Cap,TopLayer,603,5051,3767,180,Capacitor_for resonance
C33,random value needs carefully address,TopLayer,603,5051,3537,0,Capacitor_for resonance
C34,Cap,TopLayer,603,5016,3652,270,Capacitor_for resonance
C20,Cap 4.7n,TopLayer,603,4654,4103.567,270,Capacitor
C32,Cap 10n,TopLayer,603,4871,2782,90,Capacitor
C31,Cap 10n,TopLayer,603,3291,2505,270,Capacitor
R94,Magnetic Beed,TopLayer,603,4174,2483,90,Resistor
R93,Magnetic Beed,TopLayer,603,4252,2483,270,Resistor
C29,Cap 10u,TopLayer,603,4791,2782,90,Capacitor
U6,LT1117IST-5#PBF,TopLayer,SOT230P700X180-4N,4461,2728,180,
C30,Cap 22u,TopLayer,603,4731,2682,90,Capacitor
C28,Cap 100n,TopLayer,603,4656,2682,90,Capacitor
C9,Cap 10n,TopLayer,603,4594,4103.567,270,Capacitor
C14,Cap 10u,TopLayer,603,3358,2505,270,Capacitor
C15,Cap 22u,TopLayer,603,3689,2797,180,Capacitor
C21,Cap 820p,TopLayer,603,4481,3537.984,90,Capacitor
C22,Cap 200p,TopLayer,603,4581,3502.984,0,Capacitor
Com2,LT1016,TopLayer,LT1016_SOIC,4621,3292.984,270,
D4,SMMBD301LT3G,TopLayer,SOT96P237X111-3N,4774,4086,270,Schottky Barrier Diodes
R13,Res1,TopLayer,603,4529,4103.567,270,Resistor
R91,Magnetic Beed,TopLayer,603,4594,3813.433,270,Wurth Magnetic Bead
R21,Res1 2.2k,TopLayer,603,4706,3562.984,0,Resistor
R22,Res1 2.2k,TopLayer,603,4581,3562.984,0,Resistor
R23,Res1 2.2k,TopLayer,603,4606,3117,180,Resistor
R24,Res1 22,TopLayer,603,4581,3627,0,Resistor
U4,LT1117IST-3.3#PBF,TopLayer,SOT230P700X180-4N,3535,2667,90,Integrated Circuit
Swi1,Switch_219-2MSTR,TopLayer,Switch_219-2MSTR,2530.5,2547,270,
BT1,Battery,TopLayer,Battery,2346,3297,90,Multicell Battery
BT2,Battery,BottomLayer,Battery,2346,3297,270,Multicell Battery
R92,Magnetic Beed,TopLayer,603,4512,3813.433,90,Wurth Magnetic Bead
Y4,TSX3325_13.56MHz,TopLayer,HC_49Crystal,4521,2982,180,
U3,HC-06,BottomLayer,HC-06,3761.61,3758.854,180,Decawave's DW1000 Ultra Wideband (UWB) transceiver IC
