Altium Designer Pick and Place Locations,,,,,,,
D:\MyDocuments\ADProject\SignalAnalyseV3.0\Project Outputs for SignalAnalyseV3.0\Pick Place for SignalAnalyse.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       18/01/21,,,,,,,
Time:       10:50,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
U7,LM73100RPWR,TopLayer,VQFN-HR-10_2X2_TEX,3756.551,2809.543,270,"2.7 - 23 V, 5.5 A Integrated Ideal Diode with Input Reverse Polarity and Overvoltage Protection"
R15,Res 34K¶∏ °¿1%,TopLayer,402,3705.551,2899.701,270,Resistor
R14,Res 2.2K¶∏ °¿1%,TopLayer,402,3770.551,2720.701,90,Resistor
R12,Res 147K¶∏ °¿1%,TopLayer,402,3669.551,2899.701,270,Resistor
R11,Res 47K¶∏ °¿1%,TopLayer,402,3741,2925.685,270,Resistor
R10,Res 42.2K¶∏ °¿1%,TopLayer,402,3780.995,2905,270,Resistor
R9,Res 56K¶∏ °¿1%,TopLayer,402,3833,2902,360,Resistor
R8,Res 360K¶∏ °¿1%,TopLayer,402,3842.551,2846.701,270,Resistor
C11,Cap 100nF,TopLayer,402,3804.551,2720.701,90,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0402 100nF 10VDC X5R 5%
ANT1,Ceramic Antenna,BottomLayer,ANTC5020,3200,4093,180,"2.4GHz Antenna - 2.4GHz, 5GHz, Bluetooth, WiFi, WLAN, Zigbee"
R45,Res 12K¶∏ °¿2%,TopLayer,805,4840,3650,90,Resistor
C9,Cap 10¶ÃF,TopLayer,603,3846.551,2759.701,90,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 10UF 25V 10% 0603
C8,Cap 1¶ÃF,TopLayer,603,3668.551,2782.26,90,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0603 1uF 25V X6S 10%
C7,Cap 1.3nF,TopLayer,402,3720.551,2723.016,90,∂‡≤„Ã’¥…µÁ»›∆˜MLCC - SMD/SMT 0402 1.3nF 50VDC X7R 5%
USB,Micro USB Jack,BottomLayer,Jack (Female),3722,2539.5,360,USB¡¨Ω”∆˜ Micro USB Type AB Connectors
Y4,6.78MHz,TopLayer,HC49/4HSMX,4852,3179,180,Industry standard SMD crystal HC49/4HSMX 6.780MHZ-20PF-30PPM
Y2,32.768KHz,BottomLayer,FC-135,3765.064,4120,180,Crystal Oscillator FC-135 32.768000KHZ-12.5PF-20PPM
Y1,32MHz,BottomLayer,SMD2016-4N,3443,3927,270,Quartz Crystal Units YSX211SL 32MHZ-10PF-10PPM
